age,height_cm,weight_kgs,overall_rating,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,region,position_attacker,position_midfielder,position_defender,position_goalkeeper
23.0,187.96,76.2,84,1,2,3,2,0,36,40,57.0,83.0,28,83.0,30,27,70.0,84.0,79.0,79.0,79.0,76.0,83.0,69.0,76.0,82.0,44,87,82,34,81.0,44,84,85,88,7,0,0,1,0
23.0,182.88,74.8,84,0,3,3,4,1,82,80,57.0,79.0,79,82.0,83,76,75.0,84.0,79.0,79.0,79.0,84.0,83.0,59.0,76.0,61.0,88,45,45,82,82.0,62,40,42,39,12,1,0,0,0
23.0,152.4,76.2,84,0,3,5,4,0,81,78,56.0,83.0,76,82.0,82,64,73.0,84.0,72.0,79.0,79.0,76.0,83.0,59.0,76.0,61.0,76,54,36,79,82.0,75,42,30,33,12,1,0,0,0
27.0,170.18,68.0,85,1,4,4,4,1,77,69,56.0,82.0,75,85.0,80,70,81.0,84.0,70.0,66.0,79.0,76.0,83.0,58.0,76.0,61.0,70,58,65,78,84.0,71,68,57,56,12,1,1,0,0
29.0,195.58,67.1,85,1,5,4,5,1,73,86,54.0,82.0,86,85.0,82,82,73.0,84.0,70.0,66.0,79.0,84.0,79.0,59.0,76.0,58.0,82,84,20,85,84.0,89,28,37,24,2,1,0,0,0
29.0,154.94,68.0,83,1,2,3,3,0,75,57,46.0,82.0,71,85.0,75,76,73.0,84.0,70.0,66.0,79.0,84.0,79.0,64.0,76.0,66.0,62,79,76,68,79.0,84,62,77,70,12,0,1,0,0
27.0,172.72,74.8,83,1,2,4,4,0,80,80,54.0,82.0,74,82.0,74,60,73.0,83.0,84.0,74.0,85.0,85.0,79.0,64.0,79.0,66.0,77,47,52,83,79.0,75,55,40,40,6,1,1,0,0
26.0,175.26,74.8,83,1,2,4,4,1,74,81,56.0,81.0,83,82.0,64,62,82.0,84.0,84.0,74.0,85.0,85.0,79.0,64.0,79.0,66.0,81,63,38,80,81.0,68,45,48,45,12,1,1,0,0
26.0,175.26,78.0,83,1,3,4,4,1,73,62,53.0,81.0,76,82.0,78,68,71.0,83.0,84.0,74.0,85.0,85.0,79.0,69.0,79.0,68.0,75,77,76,71,77.0,59,69,74,63,10,0,1,0,0
25.0,187.96,78.0,83,1,3,4,3,1,68,52,53.0,81.0,50,82.0,79,50,71.0,82.0,84.0,74.0,85.0,71.0,79.0,68.0,82.0,68.0,59,78,81,64,74.0,60,82,83,67,12,0,1,0,0
26.0,190.5,78.0,83,1,3,3,2,1,45,39,56.0,79.0,44,82.0,32,30,75.0,82.0,84.0,74.0,85.0,71.0,79.0,68.0,82.0,65.0,41,92,81,34,81.0,47,85,85,79,7,0,0,1,0
27.0,154.94,73.0,83,1,3,4,4,0,78,79,60.0,81.0,68,82.0,81,78,73.0,83.0,86.0,82.0,86.0,71.0,80.0,69.0,83.0,61.0,75,61,18,81,81.0,74,58,39,26,12,1,1,0,0
27.0,172.72,73.0,83,1,2,4,4,1,83,72,73.0,81.0,58,81.0,82,71,73.0,82.0,86.0,82.0,86.0,71.0,80.0,74.0,83.0,61.0,76,72,62,82,81.0,56,62,62,61,12,1,1,0,0
25.0,175.26,73.0,83,1,2,4,5,0,79,86,77.0,78.0,69,81.0,75,76,75.0,82.0,86.0,82.0,86.0,72.0,80.0,73.0,82.0,61.0,83,60,33,79,81.0,74,36,30,32,12,1,1,0,0
24.0,187.96,78.0,83,1,3,4,3,0,75,73,64.0,79.0,68,82.0,76,75,75.0,83.0,84.0,79.0,79.0,72.0,80.0,74.0,83.0,72.0,80,80,82,79,81.0,60,72,76,74,12,1,1,0,0
24.0,193.04,78.0,83,0,2,3,3,0,70,69,77.0,81.0,72,82.0,73,59,75.0,83.0,84.0,79.0,78.0,72.0,80.0,74.0,83.0,72.0,79,76,80,76,80.0,67,70,81,75,12,0,1,0,0
24.0,187.96,78.9,83,0,2,3,2,1,36,30,77.0,79.0,28,82.0,36,24,79.0,83.0,77.0,76.0,76.0,70.0,80.0,73.0,82.0,72.0,46,85,86,31,80.0,34,88,86,82,12,0,0,1,0
24.0,182.88,78.0,83,1,2,3,4,0,86,58,77.0,81.0,62,82.0,83,69,75.0,83.0,77.0,76.0,78.0,72.0,80.0,73.0,79.0,72.0,66,73,77,78,75.0,46,79,79,79,12,0,0,1,0
24.0,190.5,73.9,83,0,2,4,4,1,78,80,77.0,79.0,76,82.0,86,87,75.0,83.0,86.0,84.0,78.0,74.0,79.0,73.0,76.0,66.0,88,67,58,86,75.0,71,55,62,42,7,1,1,0,0
23.0,152.4,73.9,83,1,2,3,5,0,81,77,64.0,79.0,77,82.0,84,70,75.0,83.0,86.0,84.0,78.0,74.0,79.0,72.0,76.0,66.0,73,36,23,79,75.0,70,29,17,15,12,1,1,0,0
